date,doc_id,name,volume_items,volume_eth
2025-04-11,137,Athena Silver Ring,1,0.148
2025-04-12,137,Athena Silver Ring,1,0.0999
2025-04-12,139,Foxglove Silver Ring,1,0.097
2025-04-14,138,Archon Silver Ring,1,0.0397
2025-04-15,135,Crusader Silver Ring,1,0.018
2025-04-15,140,Summoner Silver Ring,2,0.045
2025-04-16,134,Chobo Silver Ring,1,0.015
2025-04-16,135,Crusader Silver Ring,4,0.0905
2025-04-16,137,Athena Silver Ring,3,0.107
2025-04-16,138,Archon Silver Ring,2,0.043
2025-04-16,139,Foxglove Silver Ring,3,0.064
2025-04-16,140,Summoner Silver Ring,1,0.021
2025-04-17,135,Crusader Silver Ring,1,0.0179
2025-04-17,140,Summoner Silver Ring,1,0.0175
2025-04-18,134,Chobo Silver Ring,3,0.0443
2025-04-18,135,Crusader Silver Ring,1,0.0169
2025-04-18,136,Overseer Silver Ring,2,0.0287
2025-04-18,137,Athena Silver Ring,1,0.0179
2025-04-18,138,Archon Silver Ring,1,0.018
2025-04-19,134,Chobo Silver Ring,1,0.0149
2025-04-19,136,Overseer Silver Ring,3,0.041
2025-04-19,140,Summoner Silver Ring,1,0.029
2025-04-20,134,Chobo Silver Ring,2,0.0242
2025-04-20,135,Crusader Silver Ring,2,0.025
2025-04-20,136,Overseer Silver Ring,4,0.0548
2025-04-20,137,Athena Silver Ring,1,0.018
2025-04-20,138,Archon Silver Ring,1,0.019
2025-04-20,139,Foxglove Silver Ring,1,0.0169
2025-04-21,135,Crusader Silver Ring,1,0.0105
2025-04-21,136,Overseer Silver Ring,1,0.0106
2025-04-21,137,Athena Silver Ring,1,0.0105
2025-04-21,139,Foxglove Silver Ring,1,0.0134
2025-04-21,140,Summoner Silver Ring,2,0.02079
2025-04-22,135,Crusader Silver Ring,1,0.0098
2025-04-22,137,Athena Silver Ring,1,0.00997
2025-04-22,139,Foxglove Silver Ring,1,0.00987
2025-04-23,134,Chobo Silver Ring,1,0.0094
2025-04-23,135,Crusader Silver Ring,1,0.0096
2025-04-24,134,Chobo Silver Ring,2,0.01894
2025-04-24,135,Crusader Silver Ring,1,0.00699
2025-04-24,136,Overseer Silver Ring,1,0.0091
2025-04-24,137,Athena Silver Ring,4,0.02978
2025-04-24,138,Archon Silver Ring,1,0.0091
2025-04-24,139,Foxglove Silver Ring,1,0.00699
2025-04-24,140,Summoner Silver Ring,2,0.01347
2025-04-25,135,Crusader Silver Ring,1,0.0054
2025-04-25,136,Overseer Silver Ring,3,0.0158
2025-04-25,137,Athena Silver Ring,1,0.0055
2025-04-25,138,Archon Silver Ring,4,0.02287
2025-04-25,139,Foxglove Silver Ring,1,0.005
2025-04-25,140,Summoner Silver Ring,2,0.0103
2025-04-26,134,Chobo Silver Ring,1,0.00485
2025-04-26,135,Crusader Silver Ring,1,0.00497
2025-04-27,134,Chobo Silver Ring,2,0.00933
2025-04-27,135,Crusader Silver Ring,1,0.0046
2025-04-27,136,Overseer Silver Ring,1,0.00484
2025-04-27,138,Archon Silver Ring,2,0.00968
2025-04-27,139,Foxglove Silver Ring,2,0.0097
2025-04-27,140,Summoner Silver Ring,2,0.00966
2025-04-28,134,Chobo Silver Ring,1,0.0044
2025-04-28,135,Crusader Silver Ring,6,0.026
2025-04-28,136,Overseer Silver Ring,2,0.0092
2025-04-28,137,Athena Silver Ring,3,0.0132
2025-04-28,138,Archon Silver Ring,2,0.00926
2025-04-28,139,Foxglove Silver Ring,2,0.0087
2025-04-28,140,Summoner Silver Ring,2,0.0088
2025-04-29,134,Chobo Silver Ring,3,0.012399
2025-04-29,135,Crusader Silver Ring,3,0.012899
2025-04-29,136,Overseer Silver Ring,3,0.0125
2025-04-29,137,Athena Silver Ring,2,0.01
2025-04-29,140,Summoner Silver Ring,1,0.0041
2025-04-30,134,Chobo Silver Ring,3,0.01217
2025-04-30,135,Crusader Silver Ring,3,0.01252
2025-04-30,136,Overseer Silver Ring,3,0.01218
2025-04-30,137,Athena Silver Ring,2,0.009478
2025-04-30,138,Archon Silver Ring,3,0.01218
2025-04-30,139,Foxglove Silver Ring,3,0.01221
2025-04-30,140,Summoner Silver Ring,4,0.01628
2025-05-01,134,Chobo Silver Ring,3,0.01036
2025-05-01,135,Crusader Silver Ring,3,0.01066
2025-05-01,136,Overseer Silver Ring,2,0.005648
2025-05-01,137,Athena Silver Ring,2,0.005679
2025-05-01,138,Archon Silver Ring,4,0.012602
2025-05-01,140,Summoner Silver Ring,6,0.02096
2025-05-02,134,Chobo Silver Ring,1,0.002799
2025-05-02,135,Crusader Silver Ring,5,0.015376
2025-05-02,136,Overseer Silver Ring,13,0.035696
2025-05-02,137,Athena Silver Ring,5,0.01307
2025-05-02,138,Archon Silver Ring,3,0.008328
2025-05-02,139,Foxglove Silver Ring,7,0.019481
2025-05-02,140,Summoner Silver Ring,5,0.013849
2025-05-03,134,Chobo Silver Ring,5,0.013818
2025-05-03,135,Crusader Silver Ring,5,0.016558
2025-05-03,136,Overseer Silver Ring,4,0.010885
2025-05-03,137,Athena Silver Ring,5,0.018996
2025-05-03,138,Archon Silver Ring,5,0.0135
2025-05-03,139,Foxglove Silver Ring,3,0.0111
2025-05-03,140,Summoner Silver Ring,4,0.010759
2025-05-04,134,Chobo Silver Ring,1,0.002547
2025-05-04,135,Crusader Silver Ring,1,0.002659
2025-05-04,136,Overseer Silver Ring,6,0.01635
2025-05-04,137,Athena Silver Ring,3,0.0078
2025-05-04,138,Archon Silver Ring,1,0.002198
2025-05-04,139,Foxglove Silver Ring,1,0.002987
2025-05-04,140,Summoner Silver Ring,8,0.020429
2025-05-05,134,Chobo Silver Ring,5,0.01084
2025-05-05,135,Crusader Silver Ring,6,0.013385
2025-05-05,136,Overseer Silver Ring,4,0.00834
2025-05-05,137,Athena Silver Ring,5,0.011669
2025-05-05,138,Archon Silver Ring,6,0.013011
2025-05-05,139,Foxglove Silver Ring,5,0.0108
2025-05-05,140,Summoner Silver Ring,1,0.00215
2025-05-06,134,Chobo Silver Ring,2,0.00394
2025-05-06,135,Crusader Silver Ring,6,0.0115
2025-05-06,136,Overseer Silver Ring,6,0.011608
2025-05-06,137,Athena Silver Ring,6,0.011758
2025-05-06,138,Archon Silver Ring,5,0.00959
2025-05-06,139,Foxglove Silver Ring,6,0.011784
2025-05-06,140,Summoner Silver Ring,8,0.01563
2025-05-07,134,Chobo Silver Ring,23,0.04789
2025-05-07,135,Crusader Silver Ring,17,0.034246
2025-05-07,136,Overseer Silver Ring,17,0.035828
2025-05-07,137,Athena Silver Ring,11,0.026778
2025-05-07,138,Archon Silver Ring,18,0.032453
2025-05-07,139,Foxglove Silver Ring,13,0.044
2025-05-07,140,Summoner Silver Ring,10,0.024017
2025-05-08,134,Chobo Silver Ring,1,0.00399
2025-05-08,135,Crusader Silver Ring,1,0.00268
2025-05-08,136,Overseer Silver Ring,1,0.00267
2025-05-08,137,Athena Silver Ring,1,0.004149
2025-05-08,138,Archon Silver Ring,1,0.00368
2025-05-08,139,Foxglove Silver Ring,4,0.010658
2025-05-08,140,Summoner Silver Ring,1,0.00267
2025-05-09,134,Chobo Silver Ring,2,0.004738
2025-05-09,135,Crusader Silver Ring,3,0.007452
2025-05-09,136,Overseer Silver Ring,6,0.014774
2025-05-09,137,Athena Silver Ring,6,0.014358
2025-05-09,138,Archon Silver Ring,4,0.009442
2025-05-09,139,Foxglove Silver Ring,1,0.002444
2025-05-10,134,Chobo Silver Ring,1,0.00222
2025-05-10,135,Crusader Silver Ring,2,0.00352
2025-05-10,136,Overseer Silver Ring,1,0.002221
2025-05-10,137,Athena Silver Ring,2,0.004468
2025-05-10,138,Archon Silver Ring,2,0.004692
2025-05-11,134,Chobo Silver Ring,6,0.011934
2025-05-11,135,Crusader Silver Ring,10,0.015856
2025-05-11,136,Overseer Silver Ring,5,0.009778
2025-05-11,137,Athena Silver Ring,5,0.00884
2025-05-11,138,Archon Silver Ring,7,0.012893
2025-05-11,139,Foxglove Silver Ring,8,0.013708
2025-05-11,140,Summoner Silver Ring,6,0.010712
2025-05-12,134,Chobo Silver Ring,3,0.004549
2025-05-12,135,Crusader Silver Ring,4,0.005868
2025-05-12,136,Overseer Silver Ring,2,0.003024
2025-05-12,137,Athena Silver Ring,5,0.00733
2025-05-12,138,Archon Silver Ring,4,0.005829
2025-05-12,139,Foxglove Silver Ring,3,0.00444
2025-05-12,140,Summoner Silver Ring,6,0.008988
2025-05-13,134,Chobo Silver Ring,10,0.014907
2025-05-13,135,Crusader Silver Ring,2,0.002987
2025-05-13,136,Overseer Silver Ring,6,0.008872
2025-05-13,137,Athena Silver Ring,2,0.002958
2025-05-13,138,Archon Silver Ring,1,0.001396
2025-05-13,139,Foxglove Silver Ring,6,0.008247
2025-05-13,140,Summoner Silver Ring,7,0.010441
2025-05-14,134,Chobo Silver Ring,2,0.002993
2025-05-14,135,Crusader Silver Ring,5,0.007324
2025-05-14,136,Overseer Silver Ring,6,0.008265
2025-05-14,137,Athena Silver Ring,1,0.001439
2025-05-14,138,Archon Silver Ring,1,0.001388
2025-05-14,139,Foxglove Silver Ring,3,0.003883
2025-05-14,140,Summoner Silver Ring,2,0.002953
2025-05-15,135,Crusader Silver Ring,1,0.001272
2025-05-15,136,Overseer Silver Ring,1,0.001257
2025-05-15,137,Athena Silver Ring,4,0.005358
2025-05-15,138,Archon Silver Ring,1,0.001253
2025-05-15,139,Foxglove Silver Ring,2,0.002554
2025-05-15,140,Summoner Silver Ring,5,0.006704
2025-05-16,134,Chobo Silver Ring,4,0.00494
2025-05-16,135,Crusader Silver Ring,4,0.005079
2025-05-16,136,Overseer Silver Ring,2,0.002496
2025-05-16,137,Athena Silver Ring,7,0.008751
2025-05-16,138,Archon Silver Ring,3,0.003743
2025-05-16,139,Foxglove Silver Ring,5,0.006312
2025-05-16,140,Summoner Silver Ring,3,0.003774
2025-05-17,134,Chobo Silver Ring,6,0.007163
2025-05-17,135,Crusader Silver Ring,10,0.012395
2025-05-17,136,Overseer Silver Ring,10,0.012231
2025-05-17,137,Athena Silver Ring,5,0.00619
2025-05-17,138,Archon Silver Ring,2,0.002398
2025-05-17,139,Foxglove Silver Ring,2,0.002258
2025-05-17,140,Summoner Silver Ring,4,0.004877
2025-05-18,134,Chobo Silver Ring,15,0.017476
2025-05-18,135,Crusader Silver Ring,13,0.013592
2025-05-18,136,Overseer Silver Ring,15,0.017135
2025-05-18,137,Athena Silver Ring,9,0.009781
2025-05-18,138,Archon Silver Ring,7,0.008382
2025-05-18,139,Foxglove Silver Ring,6,0.006697
2025-05-18,140,Summoner Silver Ring,7,0.007693
2025-05-19,134,Chobo Silver Ring,2,0.002098
2025-05-19,135,Crusader Silver Ring,2,0.002195
2025-05-19,136,Overseer Silver Ring,3,0.003586
2025-05-19,137,Athena Silver Ring,2,0.002162
2025-05-19,138,Archon Silver Ring,3,0.003593
2025-05-19,139,Foxglove Silver Ring,2,0.0022
2025-05-19,140,Summoner Silver Ring,4,0.004378
2025-05-20,134,Chobo Silver Ring,1,0.001048
2025-05-20,135,Crusader Silver Ring,1,0.001069
2025-05-20,136,Overseer Silver Ring,2,0.002249
2025-05-20,137,Athena Silver Ring,5,0.004986
2025-05-20,138,Archon Silver Ring,6,0.007183
2025-05-20,139,Foxglove Silver Ring,3,0.003398
2025-05-20,140,Summoner Silver Ring,3,0.003282
2025-05-21,134,Chobo Silver Ring,1,0.001046
2025-05-21,137,Athena Silver Ring,10,0.0099249998
2025-05-21,138,Archon Silver Ring,1,0.00109
2025-05-21,139,Foxglove Silver Ring,2,0.002298
2025-05-21,140,Summoner Silver Ring,6,0.006292
2025-05-22,134,Chobo Silver Ring,2,0.002
2025-05-22,135,Crusader Silver Ring,3,0.003139
2025-05-22,136,Overseer Silver Ring,7,0.007281
2025-05-22,137,Athena Silver Ring,2,0.002158
2025-05-22,138,Archon Silver Ring,4,0.004089
2025-05-22,139,Foxglove Silver Ring,2,0.0021
2025-05-22,140,Summoner Silver Ring,3,0.003147
2025-05-23,135,Crusader Silver Ring,11,0.009717
2025-05-23,136,Overseer Silver Ring,2,0.00199
2025-05-23,137,Athena Silver Ring,6,0.006899
2025-05-23,138,Archon Silver Ring,4,0.0037
2025-05-23,140,Summoner Silver Ring,3,0.003149
2025-05-24,134,Chobo Silver Ring,5,0.00465
2025-05-24,135,Crusader Silver Ring,11,0.009
2025-05-24,137,Athena Silver Ring,2,0.002209
2025-05-24,138,Archon Silver Ring,1,0.00095
2025-05-24,139,Foxglove Silver Ring,4,0.00367
2025-05-24,140,Summoner Silver Ring,5,0.005243
2025-05-25,134,Chobo Silver Ring,2,0.001848
2025-05-25,135,Crusader Silver Ring,7,0.006273
2025-05-25,136,Overseer Silver Ring,6,0.005575
2025-05-25,137,Athena Silver Ring,5,0.005358
2025-05-25,138,Archon Silver Ring,8,0.007749
2025-05-25,139,Foxglove Silver Ring,5,0.004757
2025-05-25,140,Summoner Silver Ring,7,0.007387
2025-05-26,135,Crusader Silver Ring,9,0.007248
2025-05-26,136,Overseer Silver Ring,5,0.004649
2025-05-26,138,Archon Silver Ring,2,0.001537
2025-05-26,140,Summoner Silver Ring,1,0.001149
2025-05-27,134,Chobo Silver Ring,1,0.000916
2025-05-27,135,Crusader Silver Ring,2,0.001629
2025-05-27,136,Overseer Silver Ring,1,0.000899
2025-05-27,137,Athena Silver Ring,5,0.004477
2025-05-27,138,Archon Silver Ring,1,0.000768
2025-05-27,139,Foxglove Silver Ring,2,0.001797
2025-05-27,140,Summoner Silver Ring,3,0.00255
2025-05-28,136,Overseer Silver Ring,1,0.000895
2025-05-28,138,Archon Silver Ring,26,0.01662
2025-05-28,139,Foxglove Silver Ring,1,0.000849
2025-05-28,140,Summoner Silver Ring,1,0.000797
2025-05-29,134,Chobo Silver Ring,1,0.000747
2025-05-29,135,Crusader Silver Ring,2,0.001468
2025-05-29,136,Overseer Silver Ring,1,0.00063
2025-05-29,137,Athena Silver Ring,1,0.000778
2025-05-29,139,Foxglove Silver Ring,5,0.00345
2025-05-29,140,Summoner Silver Ring,1,0.000793
2025-05-30,134,Chobo Silver Ring,10,0.007039
2025-05-30,135,Crusader Silver Ring,2,0.001394
2025-05-30,136,Overseer Silver Ring,7,0.004907
2025-05-30,137,Athena Silver Ring,23,0.014941
2025-05-30,139,Foxglove Silver Ring,13,0.008447
2025-05-30,140,Summoner Silver Ring,1,0.000749
2025-05-31,135,Crusader Silver Ring,6,0.004176
2025-05-31,136,Overseer Silver Ring,7,0.004897
2025-05-31,137,Athena Silver Ring,11,0.007814
2025-05-31,139,Foxglove Silver Ring,11,0.0071
2025-05-31,140,Summoner Silver Ring,10,0.007474
2025-06-01,134,Chobo Silver Ring,26,0.014736
2025-06-01,135,Crusader Silver Ring,11,0.006783
2025-06-01,138,Archon Silver Ring,6,0.003957
2025-06-01,139,Foxglove Silver Ring,12,0.007397
2025-06-01,140,Summoner Silver Ring,17,0.010437
2025-06-02,134,Chobo Silver Ring,2,0.001258
2025-06-02,135,Crusader Silver Ring,15,0.00823
2025-06-02,136,Overseer Silver Ring,19,0.010768
2025-06-02,137,Athena Silver Ring,1,0.0006
2025-06-02,138,Archon Silver Ring,3,0.001794
2025-06-02,139,Foxglove Silver Ring,2,0.00115
2025-06-03,134,Chobo Silver Ring,2,0.001199
2025-06-03,135,Crusader Silver Ring,8,0.004
2025-06-03,136,Overseer Silver Ring,3,0.001619
2025-06-03,137,Athena Silver Ring,2,0.0012
2025-06-03,138,Archon Silver Ring,3,0.001617
2025-06-03,139,Foxglove Silver Ring,4,0.002156
2025-06-03,140,Summoner Silver Ring,1,0.00059
2025-06-03,249,Golden Summoner Ring,1,0.035
2025-06-04,134,Chobo Silver Ring,4,0.002
2025-06-04,135,Crusader Silver Ring,15,0.00641
2025-06-04,136,Overseer Silver Ring,4,0.002157
2025-06-04,137,Athena Silver Ring,11,0.006238
2025-06-04,138,Archon Silver Ring,7,0.003717
2025-06-04,139,Foxglove Silver Ring,9,0.004922
2025-06-04,140,Summoner Silver Ring,6,0.003297
2025-06-04,243,Golden Archon Ring,1,0.035
2025-06-04,244,Golden Athena Ring,1,0.035
2025-06-04,246,Golden Crusader Ring,1,0.023
2025-06-04,247,Golden Foxglove Ring,1,0.035
2025-06-04,248,Golden Overseer Ring,1,0.035
2025-06-04,249,Golden Summoner Ring,1,0.035
2025-06-05,134,Chobo Silver Ring,14,0.006333
2025-06-05,135,Crusader Silver Ring,1,0.000577
2025-06-05,136,Overseer Silver Ring,11,0.00498
2025-06-05,137,Athena Silver Ring,4,0.00226
2025-06-05,138,Archon Silver Ring,5,0.002568
2025-06-05,139,Foxglove Silver Ring,2,0.001094
2025-06-05,140,Summoner Silver Ring,2,0.001098
2025-06-05,245,Golden Chobo Ring,1,0.0217
2025-06-06,134,Chobo Silver Ring,7,0.003439
2025-06-06,136,Overseer Silver Ring,5,0.002699
2025-06-06,137,Athena Silver Ring,2,0.001126
2025-06-06,139,Foxglove Silver Ring,1,0.000542
2025-06-06,140,Summoner Silver Ring,10,0.005359
2025-06-06,246,Golden Crusader Ring,1,0.023
2025-06-07,136,Overseer Silver Ring,3,0.00147
2025-06-07,138,Archon Silver Ring,2,0.00103
2025-06-08,135,Crusader Silver Ring,6,0.003213
2025-06-08,136,Overseer Silver Ring,3,0.00149
2025-06-08,137,Athena Silver Ring,10,0.005434
2025-06-08,139,Foxglove Silver Ring,16,0.007593
2025-06-08,140,Summoner Silver Ring,3,0.00135
2025-06-09,134,Chobo Silver Ring,28,0.012595
2025-06-09,135,Crusader Silver Ring,4,0.002191
2025-06-09,136,Overseer Silver Ring,7,0.004206
2025-06-09,137,Athena Silver Ring,11,0.004363
2025-06-09,138,Archon Silver Ring,12,0.005855
2025-06-09,139,Foxglove Silver Ring,18,0.008765
2025-06-09,140,Summoner Silver Ring,1,0.00045
2025-06-09,243,Golden Archon Ring,2,0.0235
2025-06-09,244,Golden Athena Ring,1,0.015
2025-06-09,245,Golden Chobo Ring,1,0.013
2025-06-09,246,Golden Crusader Ring,1,0.013
2025-06-09,247,Golden Foxglove Ring,2,0.0264
2025-06-09,248,Golden Overseer Ring,2,0.0235
2025-06-09,249,Golden Summoner Ring,2,0.0245
2025-06-10,138,Archon Silver Ring,5,0.0021
2025-06-10,140,Summoner Silver Ring,1,0.00045
2025-06-11,135,Crusader Silver Ring,8,0.003944
2025-06-11,136,Overseer Silver Ring,6,0.002877
2025-06-11,137,Athena Silver Ring,1,0.00048
2025-06-11,139,Foxglove Silver Ring,3,0.001494
2025-06-12,134,Chobo Silver Ring,33,0.015031
2025-06-12,135,Crusader Silver Ring,32,0.015436
2025-06-12,136,Overseer Silver Ring,33,0.015661
2025-06-12,137,Athena Silver Ring,13,0.006564
2025-06-12,138,Archon Silver Ring,35,0.014541
2025-06-12,139,Foxglove Silver Ring,25,0.012396
2025-06-12,140,Summoner Silver Ring,33,0.014482
2025-06-13,134,Chobo Silver Ring,3,0.00145
2025-06-13,135,Crusader Silver Ring,10,0.005674
2025-06-13,136,Overseer Silver Ring,1,0.000685
2025-06-13,137,Athena Silver Ring,17,0.009593
2025-06-13,138,Archon Silver Ring,14,0.007217
2025-06-13,139,Foxglove Silver Ring,20,0.010896
2025-06-13,140,Summoner Silver Ring,11,0.00647
2025-06-13,244,Golden Athena Ring,1,0.00947
2025-06-13,247,Golden Foxglove Ring,1,0.0098
2025-06-14,139,Foxglove Silver Ring,11,0.00595
2025-06-14,140,Summoner Silver Ring,2,0.001196
2025-06-16,135,Crusader Silver Ring,1,0.00044
2025-06-17,134,Chobo Silver Ring,12,0.005918
2025-06-17,135,Crusader Silver Ring,43,0.018084
2025-06-17,136,Overseer Silver Ring,11,0.005122
2025-06-17,138,Archon Silver Ring,7,0.003357
2025-06-17,140,Summoner Silver Ring,3,0.00141
2025-06-18,134,Chobo Silver Ring,1,0.000469
2025-06-18,135,Crusader Silver Ring,1,0.00044
2025-06-18,136,Overseer Silver Ring,1,0.0004
2025-06-18,139,Foxglove Silver Ring,1,0.00047
2025-06-18,140,Summoner Silver Ring,1,0.000443
2025-06-19,134,Chobo Silver Ring,10,0.00317
2025-06-19,136,Overseer Silver Ring,14,0.00487
2025-06-19,137,Athena Silver Ring,14,0.005125
2025-06-19,138,Archon Silver Ring,16,0.005737
2025-06-19,139,Foxglove Silver Ring,8,0.002622
2025-06-19,140,Summoner Silver Ring,11,0.00395
2025-06-20,134,Chobo Silver Ring,10,0.00448
2025-06-20,135,Crusader Silver Ring,9,0.00351
2025-06-20,136,Overseer Silver Ring,24,0.00888
2025-06-20,137,Athena Silver Ring,20,0.008989
2025-06-20,138,Archon Silver Ring,11,0.00434
2025-06-20,139,Foxglove Silver Ring,18,0.007187
2025-06-20,140,Summoner Silver Ring,15,0.005969
2025-06-21,134,Chobo Silver Ring,7,0.0028
2025-06-21,137,Athena Silver Ring,11,0.003995
2025-06-22,134,Chobo Silver Ring,10,0.00419
2025-06-22,135,Crusader Silver Ring,10,0.003717
2025-06-22,136,Overseer Silver Ring,10,0.00399
2025-06-22,137,Athena Silver Ring,10,0.00469
2025-06-22,138,Archon Silver Ring,10,0.00352
2025-06-22,139,Foxglove Silver Ring,10,0.00399
2025-06-22,140,Summoner Silver Ring,10,0.003918
2025-06-22,245,Golden Chobo Ring,1,0.0045
2025-06-22,248,Golden Overseer Ring,1,0.0045
2025-06-23,137,Athena Silver Ring,1,0.000466
2025-06-23,140,Summoner Silver Ring,1,0.000426
2025-06-24,134,Chobo Silver Ring,15,0.00594
2025-06-24,135,Crusader Silver Ring,12,0.00457
2025-06-24,138,Archon Silver Ring,15,0.005956
2025-06-24,139,Foxglove Silver Ring,22,0.008105
2025-06-24,140,Summoner Silver Ring,1,0.000426
2025-06-24,243,Golden Archon Ring,1,0.0045
2025-06-24,244,Golden Athena Ring,1,0.0045
2025-06-24,245,Golden Chobo Ring,1,0.0045
2025-06-24,246,Golden Crusader Ring,1,0.0045
2025-06-24,247,Golden Foxglove Ring,1,0.0045
2025-06-24,248,Golden Overseer Ring,1,0.0045
2025-06-24,249,Golden Summoner Ring,2,0.0089
2025-06-25,244,Golden Athena Ring,1,0.00549
2025-06-25,248,Golden Overseer Ring,1,0.0054
2025-06-26,134,Chobo Silver Ring,16,0.00442
2025-06-26,136,Overseer Silver Ring,1,0.00036
2025-06-27,134,Chobo Silver Ring,25,0.010379
2025-06-27,135,Crusader Silver Ring,45,0.016234
2025-06-27,136,Overseer Silver Ring,33,0.012307
2025-06-27,137,Athena Silver Ring,30,0.010039
2025-06-27,138,Archon Silver Ring,45,0.01648
2025-06-27,139,Foxglove Silver Ring,37,0.012865
2025-06-27,140,Summoner Silver Ring,15,0.005926
2025-06-27,243,Golden Archon Ring,1,0.005
2025-06-27,244,Golden Athena Ring,2,0.01
2025-06-27,245,Golden Chobo Ring,2,0.01
2025-06-27,246,Golden Crusader Ring,2,0.01
2025-06-27,249,Golden Summoner Ring,1,0.005
2025-06-28,136,Overseer Silver Ring,2,0.0008
2025-06-28,137,Athena Silver Ring,14,0.00507
2025-06-29,134,Chobo Silver Ring,19,0.007705
2025-06-29,135,Crusader Silver Ring,10,0.00416
2025-06-29,136,Overseer Silver Ring,21,0.008091
