timestamp_utc,doc_id,name,supply,holders,source
2025-11-30T22:05:07.982Z,134,Chobo Silver Ring,10774,1237,backfill
2025-11-30T22:05:07.982Z,135,Crusader Silver Ring,10858,1257,backfill
2025-11-30T22:05:07.982Z,136,Overseer Silver Ring,10522,1255,backfill
2025-11-30T22:05:07.982Z,137,Athena Silver Ring,10522,1206,backfill
2025-11-30T22:05:07.982Z,138,Archon Silver Ring,11487,1273,backfill
2025-11-30T22:05:07.982Z,139,Foxglove Silver Ring,10574,1239,backfill
2025-11-30T22:05:07.982Z,140,Summoner Silver Ring,10524,1251,backfill
2025-11-30T22:05:07.982Z,243,Golden Archon Ring,1033,110,backfill
2025-11-30T22:05:07.982Z,244,Golden Athena Ring,1047,110,backfill
2025-11-30T22:05:07.982Z,245,Golden Chobo Ring,1046,109,backfill
2025-11-30T22:05:07.982Z,246,Golden Crusader Ring,991,119,backfill
2025-11-30T22:05:07.982Z,247,Golden Foxglove Ring,1003,117,backfill
2025-11-30T22:05:07.982Z,248,Golden Overseer Ring,1060,109,backfill
2025-11-30T22:05:07.982Z,249,Golden Summoner Ring,1021,119,backfill
2025-12-01T22:05:20.254Z,134,Chobo Silver Ring,10913,1259,backfill
2025-12-01T22:05:20.254Z,135,Crusader Silver Ring,11003,1267,backfill
2025-12-01T22:05:20.254Z,136,Overseer Silver Ring,10652,1275,backfill
2025-12-01T22:05:20.254Z,137,Athena Silver Ring,10636,1222,backfill
2025-12-01T22:05:20.254Z,138,Archon Silver Ring,11626,1287,backfill
2025-12-01T22:05:20.254Z,139,Foxglove Silver Ring,10674,1252,backfill
2025-12-01T22:05:20.254Z,140,Summoner Silver Ring,10616,1262,backfill
2025-12-01T22:05:20.254Z,243,Golden Archon Ring,1044,111,backfill
2025-12-01T22:05:20.254Z,244,Golden Athena Ring,1057,110,backfill
2025-12-01T22:05:20.254Z,245,Golden Chobo Ring,1052,109,backfill
2025-12-01T22:05:20.254Z,246,Golden Crusader Ring,1002,118,backfill
2025-12-01T22:05:20.254Z,247,Golden Foxglove Ring,1010,117,backfill
2025-12-01T22:05:20.254Z,248,Golden Overseer Ring,1070,109,backfill
2025-12-01T22:05:20.254Z,249,Golden Summoner Ring,1037,119,backfill
2025-12-02T22:05:10.312Z,134,Chobo Silver Ring,11005,1276,backfill
2025-12-02T22:05:10.312Z,135,Crusader Silver Ring,11089,1279,backfill
2025-12-02T22:05:10.312Z,136,Overseer Silver Ring,10748,1287,backfill
2025-12-02T22:05:10.312Z,137,Athena Silver Ring,10696,1229,backfill
2025-12-02T22:05:10.312Z,138,Archon Silver Ring,11748,1297,backfill
2025-12-02T22:05:10.312Z,139,Foxglove Silver Ring,10809,1269,backfill
2025-12-02T22:05:10.312Z,140,Summoner Silver Ring,10756,1279,backfill
2025-12-02T22:05:10.312Z,243,Golden Archon Ring,1045,111,backfill
2025-12-02T22:05:10.312Z,244,Golden Athena Ring,1064,110,backfill
2025-12-02T22:05:10.312Z,245,Golden Chobo Ring,1053,109,backfill
2025-12-02T22:05:10.312Z,246,Golden Crusader Ring,1002,118,backfill
2025-12-02T22:05:10.312Z,247,Golden Foxglove Ring,1026,118,backfill
2025-12-02T22:05:10.312Z,248,Golden Overseer Ring,1074,111,backfill
2025-12-02T22:05:10.312Z,249,Golden Summoner Ring,1041,119,backfill
2025-12-03T22:05:22.140Z,134,Chobo Silver Ring,11129,1289,backfill
2025-12-03T22:05:22.140Z,135,Crusader Silver Ring,11238,1293,backfill
2025-12-03T22:05:22.140Z,136,Overseer Silver Ring,10835,1299,backfill
2025-12-03T22:05:22.140Z,137,Athena Silver Ring,10762,1247,backfill
2025-12-03T22:05:22.140Z,138,Archon Silver Ring,11899,1315,backfill
2025-12-03T22:05:22.140Z,139,Foxglove Silver Ring,10967,1295,backfill
2025-12-03T22:05:22.140Z,140,Summoner Silver Ring,10862,1299,backfill
2025-12-03T22:05:22.140Z,243,Golden Archon Ring,1050,111,backfill
2025-12-03T22:05:22.140Z,244,Golden Athena Ring,1084,110,backfill
2025-12-03T22:05:22.140Z,245,Golden Chobo Ring,1056,109,backfill
2025-12-03T22:05:22.140Z,246,Golden Crusader Ring,1004,117,backfill
